text,Comment,Pattern Category,Pattern Type,Where in website?,label
Only one item left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only one in item left in in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only left 8 items left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 82 82 left stock! in stock!,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Only 4 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 Get left in stock! Get in in quick!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
LESS THAN LESS 5 THAN LEFT!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
1 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
3 items left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 Left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 3 3 left in Only stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 9 Left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 14 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
1 left left at this price,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 3 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
23% left left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 1 LEFT! GET ONLY IT NOW!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
83% offers claimed. Hurry up! up!,Side wheel pop-up,Scarcity,Low-stock Message,Product Page,1.0
Only 5 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only left 3 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 1 left Only in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 1 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 2 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 Left! Left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 Left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only Left! 34 Left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
70% Hurry offers offers claimed. Hurry up!,Side wheel pop-up,Scarcity,Low-stock Message,Product Page,1.0
LOW IN LOW STOCK!! GET YOURS NOW,Product detail,Scarcity,Low-stock Message,Product Page,1.0
74% offers Hurry claimed. Hurry up!,Side wheel pop-up,Scarcity,Low-stock Message,Product Page,1.0
Only left 5 Only left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
1 LEFT 1 IN THIS SIZE,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 3 LEFT! GET IT NOW!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
1 item left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Please we note all products are are made in limited quantities and all we rarely restock - checkout now so you note don't miss out!,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
"Hurry, only 1 left! left!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Only Only 2 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"HURRY, THERE ARE ONLY 9 ITEM(S) LEFT!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Only 1 left left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left in online stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left Only in 1 stock.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Only 1 left Hurry! in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Size low 1 on stock, only 1 item left",Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 8 8 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Only 2 left this at this price!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 52 items items left in ONLY stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Over 500 left in stock,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Hurry items only 8 items left! left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
72% offers claimed. up! Hurry up!,Side wheel pop-up,Scarcity,Low-stock Message,Product Page,1.0
Only 1 Left !,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 items left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 2 Only Left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
LIVE STOCK REMAINING STOCK,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
HURRY! LESS THAN 129 LEFT.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Hurry, only a few left!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only stock 1 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 9 left in 9 stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left. left.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only in 7 in in in Stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Don't miss out, only 2 left left in stock",Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 5 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 3 3 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 4 left 4 in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
only 2 left in left stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Limited Quantity Quantity Available,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Only 3 Left In Stock.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry up! Only 11 items left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only Left! 3 Left! Left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 1 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 3 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only Only 2 stock available,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 2 STOCK! LEFT IN IN 2 STOCK!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
5 items left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Hurry, only 2 2 left in stock!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 1 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Only a few few of these left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry Up! Only 1 Piece Left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only Only 8 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Hurry, only 1 left!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 5 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry only only 1 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left Item(s) left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
1 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only Only 33 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
70% offers claimed. Hurry claimed. up!,Side wheel pop-up,Scarcity,Low-stock Message,Product Page,1.0
ONLY ONLY 5 LEFT IN STOCK,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 1 LEFT IN THIS SIZE,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 5 5 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 3 Left Left in Stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
(Only 5 Left) Left),Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 6 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only in 3 left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Last stock 1 1 in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 16531 Only items left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left in in left stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
only 5 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY LEFT 8 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 498 left,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
only 1 in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
WARNING! Only 5 left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only Only 7 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 2 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 3 left in stock.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Don't left miss out on out this item! in There is only 1 item! left in stock.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 5 item(s) left.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 Item Left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 item left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only Only 5 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 Only left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
3 left 3 in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 5 LEFT IN LEFT STOCK!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Only 1 left , In In Stock",Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 4 LEFT IN STOCK,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Limited stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"HURRY, ONLY ONLY 1 LEFT!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 1 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY LEFT 1 1 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 1 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only Only 1 Left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 4 LEFT IN STOCK,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 3 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 3 left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"1 left, left, order now!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
18 In In Stock Stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
3 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 1 Left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only In 3 left In left Stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 3 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
JUST LEFT! 1 LEFT!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 1 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
LESS THAN 8 LEFT IN STOCK!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 4 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Hurry, Left Only 4 Left In Stock. Now! Buy Now!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
Availability: Low Stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Availability: Only 1 Left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left! left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Only 2 Only left, order soon",Product detail,Scarcity,Low-stock Message,Cart Page,1.0
"Only 2 left, order soon",Product detail,Scarcity,Low-stock Message,Cart Page,1.0
"Only 3 Only left, order soon",Product detail,Scarcity,Low-stock Message,Cart Page,1.0
"Only 3 left, order soon",Product detail,Scarcity,Low-stock Message,Cart Page,1.0
Only left 6 left left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only Only 2 items left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 Only left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Limited stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only in 3 Only left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 Only Left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 2 left items Only left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 2 items left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 7 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left stock in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Limited stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 1 Left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
only stock! 5 left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Warning: Last items in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Fewer than 5 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Fewer 5 than 5 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Only 15 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Don't snooze, only 1 left",Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Hurry! 2 Only 2 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Only Hurry! 7 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 2 left.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Limited Limited quantity available available,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Limited quantity remaining,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Last one available,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Limited quantity remaining,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only Only 1 1 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left products left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"In stock, only 1 1 products left left",Product detail,Scarcity,Low-stock Message,Product Page,1.0
Limited quantity! quantity!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left in in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
HURRY! 3 left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 1 LEFT IN STOCK!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
(Only 1 left!),Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only Only 1 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 3 LEFT IN STOCK!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 8 Only item(s) left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only left 8 item(s) left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 7 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Stock Low : items 6 items left.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 5 Left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"In Stock, Only 1 Left!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
In stock | 44 | left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 9 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
3 in left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 9 9 units left Only in stock online.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 9 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Sold Almost Sold Out...,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left in Stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
limited availability at this price!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
only 7 pieces left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 4 4 left Only in this size!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Hurry, Only Only a few Hurry, left!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Only Only 1 Pair Hurry! left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Limited Quantity Available.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Limited Quantity Available.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Less 6 than 6 6 items left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Low Stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 2 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Only Limited Items Left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Last chance! Only 1 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Last chance! Only 1 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Only 5 left , In Stock",Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 1 in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
LAST 1 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only left 2 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
167 piece(s) left for left this promo,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Limited Quantity,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 8 item(s) left. left.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 9 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 4 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 1 LEFT IN 1 STOCK,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 9 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 3 3 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only a few left left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 4 LEFT!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
In Stock Stock (8) Left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
8 items left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"LOW 2 IN LOW STOCK, only 2 left",Product detail,Scarcity,Low-stock Message,Product Page,1.0
1 left in in stock. Hurry!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
20 units units left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
only 2 2 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 3 3 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 1 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 1 REMAINING,Product detail,Urgency,Low-stock Message,Product Page,1.0
(5 Left),Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 2 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 1 LEFT! LEFT!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry only Hurry 2 only left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 8 Left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
8 items left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 4 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Availability: Low Stock 4 Remaining,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Low Low Stock! Only 3 left.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Only 6 left left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Low Stock 8 Alert: Alert: Only 8 left left inventory in inventory,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
LOW STOCK: Only 1 left.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only Only A Few Left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY A FEW FEW LEFT IN STOCK,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 2 Left In Stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only Only 1 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 4 left stock in stock stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY A FEW LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 2 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 7 left in stock.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 4 items left in stock.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 5 Left in Stock. Buy Soon!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 2 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 1 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY ONLY 3 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 5 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 12.5M LEFT IN STOCK!,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
ONLY 2 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 2 items left in stock.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
2 2 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
1 item 1 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 3 left.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Only 1 left , In Stock",Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 Left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only a few more left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 items left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 6 6 items left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Only 2 left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Limited quantity quantity available,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Fewer than 5 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Fewer than than 5 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
2 left items left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Limited Availability,Product detail,Scarcity,Low-stock Message,Product Page,1.0
We only have left 8.0000 left in Stock Stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 Order left in stock! Order soon!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 3 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 Only left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 4 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 2 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
3 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only Only 2 left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 7 left in 7 stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
QUICK! ONLY STOCK 1 LEFT LEFT ONLY IN STOCK STOCK,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 2 items left left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Going Fast: Limited Limited Quantities Left!,"All items have limited quantities. Hardcoded in code. Technically true, since everything is limited but most consumers would interpret otherwise.",Scarcity,Low-stock Message,Product Page,1.0
In Stock - Limited Quantity,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 25 Only Deals left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 1 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
1 in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Currently less less than 10 available,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1 piece left.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Only Only 1 Hurry! left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Hurry! Only 1 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Almost Sold Out! Out! Only 2 Left.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 4 4 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"ONLY 5 5 LEFT, ORDER SOON!",Product detail,Scarcity,Low-stock Message,Cart Page,1.0
Only 9 Only Left.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Only 1 Left In Stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 867 left,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Only 1 stock left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
10 Left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! 1 items left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
LOW STOCK LOW (ONLY 10 LEFT!),Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 1 LEFT IN STOCK!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
10 Left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 1 ITEM LEFT!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 13 13 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
only 5 left left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
2 in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 11 Left In Stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 11 Left In Stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 3 stock! pieces in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 1 1 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Less than 10 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Less than 7 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
3 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 2 copies left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 2 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 2 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 4 4 left! left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 20 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 4 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
1 item left left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 5 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
5 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
5 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"1 left, order now!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 4 LEFT!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Hurry, Hurry, limited quantities left!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 1 LEFT ITEM LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Hurry, Hurry, only 302 left.",Product detail,Scarcity,Low-stock Message,Product Page,1.0
Low in Low stock: only stock: 2 left.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Low in stock: only left. 2 left.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 2 stock left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
2 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
ONLY 5 LEFT!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
